open;high;low;close;volume;marketCap;timestamp
17.90972991;18.54456137;16.03665179;17.97602062;192597459.12;1383022091.87;"2021-02-06T00:00:00.000Z"
24.04464237;33.3060229;23.66959704;30.27532814;894521368.62;2329294594.72;"2021-02-08T00:00:00.000Z"
30.25590877;32.97258596;27.57258552;31.59888577;445128059.29;2431125220.96;"2021-02-09T00:00:00.000Z"
54.93386191;56.2638772;42.22793924;47.37031942;856224805.79;3644532883.67;"2021-02-11T00:00:00.000Z"
47.1575208;54.39250362;43.77418845;48.65618258;688788872.32;3743463408.57;"2021-02-12T00:00:00.000Z"
43.76674042;44.54382215;38.32867592;38.5759553;472803312.8;2967920405.6;"2021-02-14T00:00:00.000Z"
38.54552695;43.98727253;33.83211178;38.1765026;492075708.25;2937187690.56;"2021-02-15T00:00:00.000Z"
38.15912098;39.49046401;35.28501276;36.3360754;360245754.89;2795590641.48;"2021-02-16T00:00:00.000Z"
37.05547836;43.69624514;36.02028199;41.01509085;433522042.56;3155580311.95;"2021-02-18T00:00:00.000Z"
41.04082725;41.21041701;38.00141242;38.75145656;319733161.67;2981422955.12;"2021-02-19T00:00:00.000Z"
36.10154763;37.93278263;35.15163506;36.14797379;213433308.17;2781118657.62;"2021-02-21T00:00:00.000Z"
36.14577734;36.25886642;26.93320919;32.27905809;341397482.11;2483455676.84;"2021-02-22T00:00:00.000Z"
32.31002799;32.31002799;23.41165894;27.56290304;358695614.47;2120608594.61;"2021-02-23T00:00:00.000Z"
29.9255071;32.03687807;26.73953222;26.73953222;246988831.99;2057260868.46;"2021-02-25T00:00:00.000Z"
26.86048305;27.98298736;24.98932458;25.93980949;178639218.24;1995732556.84;"2021-02-26T00:00:00.000Z"
25.82120528;25.90975279;22.30106906;23.82322037;156409576.28;1832888422.12;"2021-02-28T00:00:00.000Z"
23.87715172;27.76976673;23.6979754;27.40377184;248201636.49;2108365509.08;"2021-03-01T00:00:00.000Z"
27.14820307;29.23093223;26.61944606;27.27207785;305240057.64;2098233361.14;"2021-03-03T00:00:00.000Z"
27.26654016;28.73361877;24.28047606;25.80517489;290696777.27;1985374166.97;"2021-03-04T00:00:00.000Z"
25.78188959;25.78188959;23.62070288;24.37805434;192065807.4;2022827427.68;"2021-03-05T00:00:00.000Z"
24.9171414;27.86521323;24.9171414;26.65015533;300207534.15;2236935400.1;"2021-03-07T00:00:00.000Z"
26.65593422;27.06946724;25.1743829;25.54598925;209982091.43;2163005884.44;"2021-03-08T00:00:00.000Z"
34.24568369;35.58499978;28.91278567;29.71404755;842150960.03;3770336408.39;"2021-03-10T00:00:00.000Z"
29.65120301;32.82171514;28.46723854;30.7289913;596126031.17;3922974039.78;"2021-03-11T00:00:00.000Z"
27.99961995;33.13913152;27.0496435;30.90908429;521074218.82;3946475689.34;"2021-03-13T00:00:00.000Z"
30.87592264;32.17930918;29.05876877;29.05876877;312497648.67;3710525615.88;"2021-03-14T00:00:00.000Z"
28.98705205;30.46322658;27.26105631;29.01790921;334277021.61;3705495664.23;"2021-03-15T00:00:00.000Z"
33.07617896;33.85872645;31.00442038;32.6458283;440750660.42;4169564794.12;"2021-03-17T00:00:00.000Z"
32.65379096;35.61005007;31.96622736;33.30138899;439630071.9;4253508947.58;"2021-03-18T00:00:00.000Z"
37.5875617;39.38956331;34.34647721;34.34647721;341937806.4;4387539801.48;"2021-03-20T00:00:00.000Z"
34.34140006;35.51162581;32.11664053;32.81172344;328942185.18;4191960631.26;"2021-03-21T00:00:00.000Z"
32.8075734;33.54272273;28.98901237;29.36029323;310387935.5;3751257127.78;"2021-03-22T00:00:00.000Z"
28.55329532;30.40033519;25.09612712;26.05170187;292191840.29;3329551118.5;"2021-03-24T00:00:00.000Z"
25.98372349;27.46345619;24.64167581;25.99776737;252605201.19;3322963744.36;"2021-03-25T00:00:00.000Z"
28.24203935;28.60502171;26.88374183;27.63164537;175964470.67;3532272875.33;"2021-03-27T00:00:00.000Z"
27.61724599;29.49205677;27.24730042;28.69735424;222965831.03;3668576526.54;"2021-03-28T00:00:00.000Z"
29.47743063;30.78315648;28.94251207;29.62527615;221168523.5;3790034963.63;"2021-03-30T00:00:00.000Z"
29.61574721;29.88647603;26.69945799;28.7289694;221774579.08;3676426975.88;"2021-03-31T00:00:00.000Z"
28.73258023;29.29685735;27.99394986;28.41875127;172089242.08;3637644692.4;"2021-04-01T00:00:00.000Z"
29.08162586;32.7803394;28.19956137;28.25184756;424655897.09;3616902241.06;"2021-04-03T00:00:00.000Z"
28.29934543;30.09362819;27.91734837;29.32971208;185849449.6;3755051237.12;"2021-04-04T00:00:00.000Z"
31.27870806;34.55483948;30.20060122;31.55449389;453065493.1;4040390424.03;"2021-04-06T00:00:00.000Z"
31.52110621;32.69904018;28.7043852;29.47651125;337039411.27;3774411457.19;"2021-04-07T00:00:00.000Z"
30.76032603;32.42420791;30.40952718;31.53260961;289110798.14;4038818685.9;"2021-04-09T00:00:00.000Z"
